Participant	List	Ambiguity	PreIncongruent	IncongruentAmbiguous	Completed	Trial	Region	LengthofRegion	RT	Subject1	Group1	Level1	EITLevel1	EITScore1	Block1	PresentationOrder	FlankerCorrect	FlankerRT	ComprehensionCheckCorrect	TrimmingHigh	Trimming	NoZeroRTs	Sdev	mean	Max	Outliers	OutliersRemoved	OutliersRemoved	ComprehensionQuestionCalculator	SumCorrectby5	TotalAnswered	PercentCorrect	Length(x-axis)	RT(pre-lineoffit)	ResSlope	ResIntercept	ResExpected	Residual	JegerskiMcCormickStep1	JegerskiMcCormickStep2	JegerskiMcCormickStep3		
1	1	1	1	1	1	21	3	9	0.585381031	1	1	4	5	120	1	16	1	0.656785965	1	 	 	0.585381031	0.477062541	0.911577983	2.104234335	 	0.585381031	0.585381031	1	135	150	0.9	9	0.585381031	0.065635776	0.263141919	0.853863907	-0.268482876	21	1	1	17	
1	1	1	1	1	1	21	4	11	1.186679125	1	1	4	5	120	1	16	1	0.656785965	1	 	 	1.186679125	0.477062541	0.911577983	2.104234335	 	1.186679125	1.186679125	1	135	150	0.9	11	1.186679125	0.065635776	0.263141919	0.98513546	0.201543665	21	1	1	17	
1	1	1	1	1	1	21	5	12	0.634699821	1	1	4	5	120	1	16	1	0.656785965	1	 	 	0.634699821	0.477062541	0.911577983	2.104234335	 	0.634699821	0.634699821	1	135	150	0.9	12	0.634699821	0.065635776	0.263141919	1.050771236	-0.416071414	21	1	1	17	
1	1	1	0	0	1	22	1	24	2.021259069	1	1	4	5	120	1	0	1	0.537949085	1	 	 	2.021259069	0.477062541	0.911577983	2.104234335	 	2.021259069	2.021259069	1	135	150	0.9	24	2.021259069	0.065635776	0.263141919	1.838400552	0.182858517	22	2	1	17	
1	1	1	0	0	1	22	2	6	0.435815811	1	1	4	5	120	1	0	1	0.537949085	1	 	 	0.435815811	0.477062541	0.911577983	2.104234335	 	0.435815811	0.435815811	1	135	150	0.9	6	0.435815811	0.065635776	0.263141919	0.656956578	-0.221140766	22	2	1	17	
1	1	1	0	0	1	22	3	9	1.771234989	1	1	4	5	120	1	0	1	0.537949085	1	 	 	1.771234989	0.477062541	0.911577983	2.104234335	 	1.771234989	1.771234989	1	135	150	0.9	9	1.771234989	0.065635776	0.263141919	0.853863907	0.917371082	22	2	1	17	
1	1	1	0	0	1	22	4	11	1.01810813	1	1	4	5	120	1	0	1	0.537949085	1	 	 	1.01810813	0.477062541	0.911577983	2.104234335	 	1.01810813	1.01810813	1	135	150	0.9	11	1.01810813	0.065635776	0.263141919	0.98513546	0.03297267	22	2	1	17	
1	1	1	0	0	1	22	5	12	1.021317005	1	1	4	5	120	1	0	1	0.537949085	1	 	 	1.021317005	0.477062541	0.911577983	2.104234335	 	1.021317005	1.021317005	1	135	150	0.9	12	1.021317005	0.065635776	0.263141919	1.050771236	-0.029454231	22	2	1	17	
1	1	1	0	0	1	23	1	11	0.718034029	1	1	4	5	120	1	68	1	0.641033173	1	 	 	0.718034029	0.477062541	0.911577983	2.104234335	 	0.718034029	0.718034029	1	135	150	0.9	11	0.718034029	0.065635776	0.263141919	0.98513546	-0.267101431	23	3	1	17	
1	1	1	0	0	1	23	2	9	0.350840807	1	1	4	5	120	1	68	1	0.641033173	1	 	 	0.350840807	0.477062541	0.911577983	2.104234335	 	0.350840807	0.350840807	1	135	150	0.9	9	0.350840807	0.065635776	0.263141919	0.853863907	-0.5030231	23	3	1	17	
