581.4230 	EXP 	New trial (rep=0, index=8): OrderedDict([(u'MatchingSection', u'el escenario?'), (u'ColumnA', u'monedas'), (u'ColumnF', u'diamante'), (u'ColumnJ', u'sucio'), (u'ColumnSemicolon', u'escenario'), (u'Translation', u'stage'), (u'CorrectAnswer', u'semicolon'), (u'Training', None), (u'TrainingFull', u'el escenario'), (u'imagename', u'escenario'), (u'Counterbalance', 1)])
581.4446 	WARNING 	Requested image u'escenario' not found but similar filename u'escenario.jpg' exists. This will be used instead but changing the filename is advised.
581.5841 	EXP 	vocabPicAssoc: autoDraw = False
581.5841 	EXP 	TranslationTraining: autoDraw = False
581.5841 	EXP 	image: autoDraw = False
581.5841 	EXP 	pressSpace: autoDraw = False
581.5841 	EXP 	vocabPicAssoc: text = u'el escenario'
581.5841 	EXP 	TranslationTraining: text = u'stage'
581.5841 	EXP 	image: image = u'escenario'
581.5841 	EXP 	vocabPicAssoc: autoDraw = True
581.5841 	EXP 	TranslationTraining: autoDraw = True
581.5841 	EXP 	image: autoDraw = True
581.5867 	DATA 	Keypress: space
581.5879 	EXP 	New trial (rep=0, index=9): OrderedDict([(u'MatchingSection', u'la maleta?'), (u'ColumnA', u'escenario'), (u'ColumnF', u'maleta'), (u'ColumnJ', u'vaciar'), (u'ColumnSemicolon', u'copa'), (u'Translation', u'suitcase'), (u'CorrectAnswer', u'f'), (u'Training', None), (u'TrainingFull', u'la maleta'), (u'imagename', u'maleta'), (u'Counterbalance', 1)])
581.6046 	WARNING 	Requested image u'maleta' not found but similar filename u'maleta.jpg' exists. This will be used instead but changing the filename is advised.
581.6337 	EXP 	vocabPicAssoc: autoDraw = False
581.6337 	EXP 	TranslationTraining: autoDraw = False
581.6337 	EXP 	image: autoDraw = False
581.6337 	EXP 	pressSpace: autoDraw = False
581.6337 	EXP 	vocabPicAssoc: text = u'la maleta'
581.6337 	EXP 	TranslationTraining: text = u'suitcase'
581.6337 	EXP 	image: image = u'maleta'
581.6337 	EXP 	vocabPicAssoc: autoDraw = True
581.6337 	EXP 	TranslationTraining: autoDraw = True
581.6337 	EXP 	image: autoDraw = True
581.7224 	DATA 	Keypress: space
581.7346 	EXP 	New trial (rep=0, index=10): OrderedDict([(u'MatchingSection', u'el diamante?'), (u'ColumnA', u'diamante'), (u'ColumnF', u'copa'), (u'ColumnJ', u'escenario'), (u'ColumnSemicolon', u'abrigo'), (u'Translation', u'diamond'), (u'CorrectAnswer', u'a'), (u'Training', None), (u'TrainingFull', u'el diamante'), (u'imagename', u'diamante'), (u'Counterbalance', 1)])
581.7510 	WARNING 	Requested image u'diamante' not found but similar filename u'diamante.png' exists. This will be used instead but changing the filename is advised.
581.7836 	EXP 	vocabPicAssoc: autoDraw = False
581.7836 	EXP 	TranslationTraining: autoDraw = False
581.7836 	EXP 	image: autoDraw = False
581.7836 	EXP 	pressSpace: autoDraw = False
581.7836 	EXP 	vocabPicAssoc: text = u'el diamante'
581.7836 	EXP 	TranslationTraining: text = u'diamond'
581.7836 	EXP 	image: image = u'diamante'
581.7836 	EXP 	vocabPicAssoc: autoDraw = True
581.7836 	EXP 	TranslationTraining: autoDraw = True
581.7836 	EXP 	image: autoDraw = True
581.8891 	DATA 	Keypress: space
581.8914 	EXP 	New trial (rep=0, index=11): OrderedDict([(u'MatchingSection', u'el aviso?'), (u'ColumnA', u'copa'), (u'ColumnF', u'jardinero'), (u'ColumnJ', u'abrigo'), (u'ColumnSemicolon', u'aviso'), (u'Translation', u'warning'), (u'CorrectAnswer', u'semicolon'), (u'Training', None), (u'TrainingFull', u'el aviso'), (u'imagename', u'aviso'), (u'Counterbalance', 1)])
581.9088 	WARNING 	Requested image u'aviso' not found but similar filename u'aviso.jpg' exists. This will be used instead but changing the filename is advised.
581.9857 	EXP 	vocabPicAssoc: autoDraw = False
581.9857 	EXP 	TranslationTraining: autoDraw = False
581.9857 	EXP 	image: autoDraw = False
581.9857 	EXP 	pressSpace: autoDraw = False
581.9857 	EXP 	vocabPicAssoc: text = u'el aviso'
581.9857 	EXP 	TranslationTraining: text = u'warning'
581.9857 	EXP 	image: image = u'aviso'
581.9857 	EXP 	vocabPicAssoc: autoDraw = True
581.9857 	EXP 	TranslationTraining: autoDraw = True
581.9857 	EXP 	image: autoDraw = True
582.0390 	DATA 	Keypress: space
582.0417 	EXP 	New trial (rep=0, index=12): OrderedDict([(u'MatchingSection', u'la copa?'), (u'ColumnA', u'planos'), (u'ColumnF', u'carpeta'), (u'ColumnJ', u'copa'), (u'ColumnSemicolon', u'biblia'), (u'Translation', u'wineglass'), (u'CorrectAnswer', u'j'), (u'Training', None), (u'TrainingFull', u'la copa'), (u'imagename', u'copa'), (u'Counterbalance', 1)])
582.0692 	WARNING 	Requested image u'copa' not found but similar filename u'copa.jpg' exists. This will be used instead but changing the filename is advised.
582.1021 	EXP 	vocabPicAssoc: autoDraw = False
582.1021 	EXP 	TranslationTraining: autoDraw = False
582.1021 	EXP 	image: autoDraw = False
